pkg1 file1 pkg2 file2 pairFreq clusterid expected
genomebrowser gbprecomputemanager.h genomebrowser gbsearchbox.h 4 3 true 
genomebrowser gbsourceutil.h genomebrowser gbdata.h 4 1 true 
gacore gasourceregistry.h gacore bamhttpdevice.h 4 3 true 
genomebrowser gbdynamictext.h genomebrowser gbmessagewidget.h 4 3 true 
genomebrowser gbinputhandler.h genomebrowser gbplotgroup.h 4 3 true 
genomebrowser gbmainwindow.h genomebrowser gbplotrenderer.h 4 0 true 
gbapp aboutdialog.h gbapp standalonegb.h 4 1 true 
genomebrowser gbcontroltree.h genomebrowser gbview.h 4 3 true 
genomebrowser/gbrender view.h genomebrowser/gbrender label.h 4 0 true 
downloadmanager downloadwindow.h downloadmanager downloadwidget.h 4 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender generenderer.h 4 0 true 
genomebrowser gbplotstate.h genomebrowser gb.h 4 0 true 
genomebrowser gbgearpanel.h genomebrowser gbselectioncontrolset.h 4 2 true 
genomebrowser gbinterface.h genomebrowser gbdata.h 4 1 true 
genomebrowser gbmessagewidget.h genomebrowser gbdata.h 4 0 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender stackengine.h 4 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender worker.h 4 0 true 
genomebrowser gbrootstate.h genomebrowser gb.h 4 0 true 
genomebrowser gbcontroltree.h genomebrowser gbdata.h 4 0 true 
genomebrowser/gbrender config.h genomebrowser/gbrender renderparams.h 4 0 true 
downloadmanager downloadmanager.h downloadmanager downloadwindow.h 4 1 true 
gacore asyncworker.h gacore gaglobal.h 4 0 true 
genomebrowser gbrootstate.h genomebrowser gbplotgroupstate.h 4 0 true 
downloadmanager downloadwidget.h downloadmanager downloadview.h 4 1 true 
genomebrowser/gbrender intensityrenderer.h genomebrowser/gbrender worker.h 4 3 true 
genomebrowser/gbrender util.h genomebrowser/gbrender pileuprenderer.h 4 0 true 
genomebrowser gbzoommanager.h genomebrowser gbview.h 4 0 true 
genomebrowser gb.h genomebrowser gboptionsutil.h 4 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender pileupdetail.h 4 4 true 
genomebrowser gbplotstate.h genomebrowser gbmessagewidget.h 4 3 true 
genomebrowser/gbrender stackengine.h genomebrowser/gbrender pileuprenderer.h 4 0 true 
genomebrowser gbplotzoomer.h genomebrowser gbdata.h 4 0 true 
genomebrowser gbrootstate.h genomebrowser gbinputhandler.h 4 0 true 
genomebrowser/gbrender rect.h genomebrowser/gbrender generenderer.h 4 0 true 
genomebrowser gbrootstate.h genomebrowser gbselectionmanager.h 4 0 true 
genomebrowser gbsourceutil.h genomebrowser gboptionsutil.h 4 0 true 
package package_gb_mac.sh package package_gb_lin.sh 4 1 true 
genomebrowser gbdatanode.h genomebrowser gbdata.h 4 1 true 
genomebrowser gbdata.h genomebrowser gbselectionaction.h 4 0 true 
genomebrowser/gbrender rect.h genomebrowser/gbrender worker.h 4 0 true 
genomebrowser gbinputhandler.h genomebrowser gbmainwindow.h 4 0 true 
genomebrowser gbmessagedialog.h genomebrowser gbmessagewidget.h 4 3 true 
genomebrowser/gbrender intensityrenderer.h genomebrowser/gbrender config.h 4 0 true 
genomebrowser/gbrender intensityrenderer.h genomebrowser/gbrender variantrenderer.h 4 0 true 
genomebrowser gbplotstate.h genomebrowser gbmessage.h 4 0 true 
genomebrowser gbplotzoomer.h genomebrowser gbscalestate.h 4 0 true 
genomebrowser/gbrender renderparams.h genomebrowser/gbrender pileupdetail.h 4 0 true 
genomebrowser gbplotstate.h genomebrowser gbplotzoomer.h 4 3 true 
genomebrowser gbrootstate.h genomebrowser gblandmarknavigator.h 4 2 true 
genomebrowser gbplotview.h genomebrowser gbplot.h 4 3 true 
genomebrowser gbrootstate.h genomebrowser gbplotview.h 4 0 true 
genomebrowser gbcontroltree.h genomebrowser gbplot.h 4 3 true 
gacore gasourceregistry.h gacore httputil.h 4 0 true 
genomebrowser gbview.h genomebrowser gbselectioncache.h 4 3 true 
genomebrowser gbmainwindow.h genomebrowser gbplotview.h 4 0 true 
gbapp version.h gbapp loginwindow.h 4 1 true 
genomebrowser gbscalestate.h genomebrowser gbscale.h 4 2 true 
genomebrowser gbmaincontrolset.h genomebrowser gbdata.h 4 0 true 
genomebrowser/gbrender stackengine.h genomebrowser/gbrender coveragerenderer.h 4 0 true 
genomebrowser/gbrender stackengine.h genomebrowser/gbrender util.h 4 0 true 
gbapp loginwindow.h gbapp notesdialog.h 4 1 true 
genomebrowser gbactionmanager.h genomebrowser gbcontrolset.h 4 5 true 
gbapp aboutdialog.h gbapp notesdialog.h 4 1 true 
genomebrowser gbselectioncache.h genomebrowser gbselectionaction.h 4 3 true 
genomebrowser gblandmarkview.h genomebrowser gbplot.h 4 0 true 
gacore gasourceregistry.h gacore gaglobal.h 4 0 true 
genomebrowser gbinputhandler.h genomebrowser gbview.h 4 3 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender renderparams.h 4 0 true 
downloadmanager downloadgroup.h downloadmanager downloadview.h 4 1 true 
genomebrowser gbrootstate.h genomebrowser gbplotrenderer.h 4 2 true 
genomebrowser gbinputhandler.h genomebrowser gbselectionmanager.h 4 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender genericrenderer.h 4 0 true 
genomebrowser gbdynamictext.h genomebrowser gbplot.h 3 3 true 
genomebrowser gbscalestate.h genomebrowser gbdata.h 3 0 true 
genomebrowser gblandmarkview.h genomebrowser gbdata.h 3 0 true 
gbapp project.h gbapp viewer.h 3 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender renderparams.h 3 0 true 
genomebrowser/gbrender rect.h genomebrowser/gbrender util.h 3 4 true 
genomebrowser gbscale.h genomebrowser gbplotrenderer.h 3 2 true 
genomebrowser/gbrender rect.h genomebrowser/gbrender cytobandrenderer.h 3 0 true 
genomebrowser gbplot.h genomebrowser gbselectionaction.h 3 3 true 
genomebrowser gb.h genomebrowser gbsearchbox.h 3 0 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender worker.h 3 3 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender coverhistogram.h 3 4 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender genericrenderer.h 3 3 true 
genomebrowser gbrootstate.h genomebrowser gbcommonvalueaccessor.h 3 2 true 
genomebrowser gblandmarknavigator.h genomebrowser gbdata.h 3 0 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender pileupdetail.h 3 0 true 
genomebrowser gbnodeoptionsstate.h genomebrowser gbplotrenderer.h 3 2 true 
genomebrowser gbactionmanager.h genomebrowser gbdatanode.h 3 0 true 
genomebrowser gbplotstate.h genomebrowser gbsourceutil.h 3 0 true 
genomebrowser/gbrender renderparams.h genomebrowser/gbrender pileupagg.h 3 0 true 
genomebrowser gbsourceutil.h genomebrowser gbplot.h 3 0 true 
genomebrowser gbplotstate.h genomebrowser gbadddialog.h 3 3 true 
genomebrowser/gbrender config.h genomebrowser/gbrender coverhistogram.h 3 4 true 
genomebrowser gbdatanode.h genomebrowser gbmainwindow.h 3 1 true 
genomebrowser gboptionsutil.h genomebrowser gbview.h 3 3 true 
genomebrowser gbmessagebutton.h genomebrowser gbmessagedialog.h 3 3 true 
gacore gasourceregistry.h gacore precomputerunner.h 3 3 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender optionsbundle.h 3 4 true 
genomebrowser gbplotgroupstate.h genomebrowser gbplotrenderer.h 3 0 true 
genomebrowser gbmessage.h genomebrowser gbscaleengine.h 3 9 true 
genomebrowser gbplot.h genomebrowser gbadddialog.h 3 3 true 
genomebrowser gbdatanode.h genomebrowser gbinterface.h 3 1 true 
genomebrowser gbstate.h genomebrowser gbdata.h 3 0 true 
downloadmanager downloaditem.h downloadmanager downloadmanager.h 3 1 true 
downloadmanager downloadview.h downloadmanager aria2downloadmanager.h 3 1 true 
downloadmanager downloadwindow.h downloadmanager aria2rpcaction.h 3 1 true 
genomebrowser gbplotzoomer.h genomebrowser gbzoommanager.h 3 0 true 
genomebrowser gbview.h genomebrowser gbplotrenderer.h 3 0 true 
genomebrowser/gbrender rect.h genomebrowser/gbrender scene.h 3 4 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender cytobandrenderer.h 3 0 true 
genomebrowser gbmessagewidget.h genomebrowser gbelidedlabel.h 3 3 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender cytobandrenderer.h 3 3 true 
genomebrowser gbsourceitemmodel.h genomebrowser gbadddialog.h 3 3 true 
genomebrowser gbselectionmanager.h genomebrowser gbdata.h 3 1 true 
genomebrowser gbselectionmanager.h genomebrowser gbselectioncache.h 3 0 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender alignmentrenderparams.h 3 4 true 
genomebrowser gbplotgroup.h genomebrowser gbcommonvalueaccessor.h 3 0 true 
genomebrowser gbcontroltree.h genomebrowser gblandmarkview.h 3 0 true 
genomebrowser/gbrender util.h genomebrowser/gbrender view.h 3 0 true 
genomebrowser gbplot.h genomebrowser gboverlay.h 3 3 true 
genomebrowser gbplotselector.h genomebrowser gbplotzoomer.h 3 3 true 
genomebrowser gbrootstate.h genomebrowser gbzoommanager.h 3 2 true 
genomebrowser gbrootstate.h genomebrowser gbnodeoptionsstate.h 3 2 true 
genomebrowser/gbrender optionsbundle.h genomebrowser/gbrender generenderer.h 3 0 true 
genomebrowser gbcontroltree.h genomebrowser gbplotview.h 3 3 true 
svs apispreadsheet.h svs genotypeassoc.h 3 8 true 
genomebrowser gbmainwindow.h genomebrowser gbmessagewidget.h 3 0 true 
downloadmanager downloadgroup.h downloadmanager aria2downloadmanager.h 3 1 true 
gacore asyncworkerthread.h gacore gaproxydispatch.h 3 3 true 
genomebrowser gbsourcemanager.h genomebrowser gbplot.h 3 0 true 
genomebrowser gbdatanodeiterator.h genomebrowser gbplotgroup.h 3 3 true 
genomebrowser gblandmarkview.h genomebrowser gbplotzoomer.h 3 0 true 
genomebrowser gbmessagebutton.h genomebrowser gbplot.h 3 3 true 
genomebrowser gbviewstate.h genomebrowser gbmainwindow.h 3 1 true 
genomebrowser gbplotgroupstate.h genomebrowser gboptionsutil.h 3 0 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender genericrenderer.h 3 0 true 
genomebrowser gbmainwindow.h genomebrowser gbselectioncache.h 3 0 true 
genomebrowser gbmainwindow.h genomebrowser gbmessagebox.h 3 1 true 
genomebrowser gbplotgroupstate.h genomebrowser gbsourceutil.h 3 1 true 
genomebrowser gbrootstate.h genomebrowser gbcontroltree.h 3 0 true 
genomebrowser/gbrender stackengine.h genomebrowser/gbrender genericrenderer.h 3 0 true 
genomebrowser gbplot.h genomebrowser gbcommonvalueaccessor.h 3 0 true 
genomebrowser gbplotcanvas.h genomebrowser gbzoommanager.h 3 2 true 
genomebrowser gbselectionmanager.h genomebrowser gbselectionaction.h 3 0 true 
genomebrowser gbdatanodeiterator.h genomebrowser gbplot.h 3 3 true 
genomebrowser gbrootstate.h genomebrowser gbdatanode.h 3 0 true 
genomebrowser gbmainwindow.h genomebrowser gbselectionaction.h 3 0 true 
gacore asyncworker.h gacore asyncworkerthread.h 3 3 true 
genomebrowser gbconsole.h genomebrowser gbactionmanager.h 3 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender seqrenderer.h 3 4 true 
genomebrowser gbcontroltree.h genomebrowser gbselectionaction.h 3 3 true 
genomebrowser gbdatanode.h genomebrowser gbview.h 3 0 true 
genomebrowser/gbrender pileuprenderer.h genomebrowser/gbrender pileuprenderparams.h 3 3 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender scene.h 3 0 true 
gacore gaproxydispatch.h gacore bamhttpdevice.h 3 3 true 
genomebrowser gbprecomputemanager.h genomebrowser gbdownloadwindow.h 3 0 true 
downloadmanager downloadnode.h downloadmanager downloadview.h 3 1 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender bamutil.h 3 0 true 
genomebrowser gbscale.h genomebrowser gbplotcanvas.h 3 2 true 
genomebrowser gbmainwindow.h genomebrowser gbmessagedialog.h 3 0 true 
genomebrowser gbplotgroupstate.h genomebrowser gbplotview.h 3 0 true 
genomebrowser gbmessagedialog.h genomebrowser gbelidedlabel.h 3 3 true 
genomebrowser/gbrender renderparams.h genomebrowser/gbrender stackengine.h 3 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender optionsbundle.h 3 0 true 
gbapp standalonegb.h gbapp viewer.h 3 0 true 
genomebrowser/gbrender stackengine.h genomebrowser/gbrender worker.h 3 0 true 
genomebrowser/gbrender label.h genomebrowser/gbrender intensityrenderer.h 3 0 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender seqrenderer.h 3 0 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender sequtil.h 3 0 true 
genomebrowser/gbrender util.h genomebrowser/gbrender sequtil.h 3 4 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender intensityrenderer.h 3 0 true 
genomebrowser gbmessagedialog.h genomebrowser gbprecomputemanager.h 3 3 true 
genomebrowser gbcontroltree.h genomebrowser gblandmarknavigator.h 3 0 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender pileupagg.h 3 0 true 
gacore asyncworkerthread.h gacore gasourceregistry.h 3 3 true 
genomebrowser gbplotzoomer.h genomebrowser gblandmarknavigator.h 3 0 true 
genomebrowser gbrootstate.h genomebrowser gboptionsutil.h 3 0 true 
genomebrowser gbplotgroupstate.h genomebrowser gbview.h 3 0 true 
genomebrowser gbplotgroupstate.h genomebrowser gbmessagewidget.h 3 0 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender intensityrenderer.h 3 0 true 
genomebrowser gbstate.h genomebrowser gbscalestate.h 3 2 true 
genomebrowser gbplotstate.h genomebrowser gbzoommanager.h 3 0 true 
gbapp notesdialog.h gbapp viewer.h 3 0 true 
genomebrowser/gbrender intensityrenderer.h genomebrowser/gbrender genericrenderer.h 3 3 true 
downloadmanager downloaditem.h downloadmanager downloadnode.h 3 1 true 
genomebrowser gbrootstate.h genomebrowser gbdatanodeiterator.h 3 0 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender sequtil.h 3 4 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender stackengine.h 3 0 true 
genomebrowser/gbrender stackengine.h genomebrowser/gbrender view.h 3 0 true 
genomebrowser gbsourcemanager.h genomebrowser gbsourceutil.h 3 1 true 
genomebrowser gbplotgroup.h genomebrowser gbselectionaction.h 3 3 true 
genomebrowser/gbrender stackengine.h genomebrowser/gbrender variantrenderer.h 3 0 true 
genomebrowser gbviewstate.h genomebrowser gbview.h 3 0 true 
genomebrowser gbdata.h genomebrowser gbutil.h 3 0 true 
gacore filedownloadrunner.h gacore gasourceregistry.h 3 0 true 
genomebrowser gbdatanode.h genomebrowser gboptionsutil.h 3 0 true 
genomebrowser gbviewstate.h genomebrowser gboptionsutil.h 3 0 true 
genomebrowser gbviewstate.h genomebrowser gbdata.h 3 1 true 
downloadmanager downloadview.h downloadmanager downloadmanager.h 3 1 true 
genomebrowser/gbrender rect.h genomebrowser/gbrender genericrenderer.h 3 0 true 
genomebrowser gbpreferencesdialog.h genomebrowser gbdata.h 3 1 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender view.h 3 0 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender coveragerenderer.h 3 0 true 
genomebrowser/gbrender view.h genomebrowser/gbrender pileupagg.h 3 0 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender sequtil.h 3 4 true 
genomebrowser gbprecomputemanager.h genomebrowser gbplotrenderer.h 3 0 true 
genomebrowser gblandmarknavigator.h genomebrowser gbview.h 3 0 true 
genomebrowser gbscale.h genomebrowser gbplot.h 3 0 true 
genomebrowser/gbrender sequtil.h genomebrowser/gbrender cache.h 3 4 true 
gacore asyncworkerthread.h gacore gafeaturereader.h 3 3 true 
downloadmanager downloadwidget.h downloadmanager aria2downloadmanager.h 3 1 true 
genomebrowser gbplotrenderer.h genomebrowser gbdata.h 3 0 true 
genomebrowser/gbrender view.h genomebrowser/gbrender coveragerenderer.h 3 0 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender optionsbundle.h 3 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender intensityrenderer.h 3 0 true 
genomebrowser gbselectioncontrolset.h genomebrowser gbplotrenderer.h 3 2 true 
gbapp version.h gbapp updaterbackend.h 3 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender view.h 3 0 true 
genomebrowser/gbrender label.h genomebrowser/gbrender bamutil.h 3 4 true 
gbapp loginwindow.h gbapp updaterbackend.h 3 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender scene.h 3 4 true 
svs samplestatswindow.h svs genotypeassoc.h 3 8 true 
genomebrowser gblandmarkview.h genomebrowser gbplotgroup.h 3 0 true 
genomebrowser/gbrender sequtil.h genomebrowser/gbrender pileupdetail.h 3 4 true 
gacore filedownloadrunner.h gacore asyncworker.h 3 0 true 
genomebrowser/gbrender intensityrenderer.h genomebrowser/gbrender scene.h 3 0 true 
genomebrowser/gbrender util.h genomebrowser/gbrender optionsbundle.h 3 4 true 
genomebrowser gbmessagebox.h genomebrowser gbdialog.h 3 1 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender stackengine.h 3 0 true 
genomebrowser gblandmarkview.h genomebrowser gbview.h 3 0 true 
gacore gasourceinfo.h gacore bamhttpdevice.h 3 3 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender cache.h 3 4 true 
genomebrowser gbmainwindow.h genomebrowser gbdownloadwindow.h 3 0 true 
genomebrowser gbrootstate.h genomebrowser gbviewstate.h 3 0 true 
genomebrowser gbscalestate.h genomebrowser gbplotcanvas.h 3 2 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender pileuprenderer.h 3 0 true 
downloadmanager downloadgroup.h downloadmanager downloadwindow.h 3 1 true 
